latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
28.53376,54.44618,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,1.79,308.04,N,0.56,0.43
28.68209,52.09237,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,3.1,322.13,N,0.44,0.38
29.1223,52.64838,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,0.49,304.02,N,0.45,0.39
29.19188,52.84345,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,2.86,307.69,N,0.46,0.39
29.2562,53.12244,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,6.15,336.03,N,0.47,0.4
29.36548,52.61356,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,1.35,305.08,N,0.45,0.39
29.36899,52.61443,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,1.35,319.74,N,0.45,0.39
29.36983,52.60986,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,1.35,306.31,N,0.45,0.39
29.62466,52.44934,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,0.95,309.73,N,0.44,0.38
29.73619,52.65472,2026-08-30,2237,2026-08-31,02:07,2026,8,31,N,VIIRS,VIIRS,n,0.89,306.09,N,0.44,0.39
27.48531,52.96623,2026-08-30,2203,2026-08-31,01:33,2026,8,31,N21,VIIRS,VIIRS,n,2.45,312.97,N,0.41,0.37
28.4785,53.02336,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,2.01,312.36,N,0.42,0.38
28.53117,54.4455,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,1.83,316.32,N,0.39,0.36
28.68088,52.09189,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,1.94,324.17,N,0.45,0.39
29.19202,52.84095,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,3.83,324.02,N,0.43,0.38
29.20204,54.48465,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,1.25,302.78,N,0.39,0.36
29.25545,53.12172,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,7.47,343.84,N,0.42,0.38
29.36657,52.61145,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,4.24,328.68,N,0.44,0.38
29.37007,52.61202,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,1.25,304.34,N,0.44,0.38
29.62291,52.44735,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,1.39,313.54,N,0.45,0.39
29.88662,52.74707,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,0.82,301.77,N,0.44,0.38
29.94456,52.85713,2026-08-30,2201,2026-08-31,01:31,2026,8,31,N21,VIIRS,VIIRS,n,0.74,301.25,N,0.44,0.38
27.48489,52.96044,2026-08-30,2118,2026-08-31,00:48,2026,8,31,N20,VIIRS,VIIRS,n,3.52,308.11,N,0.71,0.75
27.49076,52.9614,2026-08-30,2118,2026-08-31,00:48,2026,8,31,N20,VIIRS,VIIRS,n,1.81,309.36,N,0.71,0.75
29.25562,53.11434,2026-08-30,2118,2026-08-31,00:48,2026,8,31,N20,VIIRS,VIIRS,n,3.97,328.23,N,0.72,0.76
29.25733,53.11643,2026-08-30,2118,2026-08-31,00:48,2026,8,31,N20,VIIRS,VIIRS,n,6.13,336.7,N,0.72,0.76
29.88496,52.73999,2026-08-30,2118,2026-08-31,00:48,2026,8,31,N20,VIIRS,VIIRS,n,4.09,302.38,N,0.77,0.77
29.88937,52.74177,2026-08-30,2118,2026-08-31,00:48,2026,8,31,N20,VIIRS,VIIRS,n,2.67,302.66,N,0.77,0.77
